method,seed,best_value,evaluations,seconds,best_vector
GA_sigma_2pct,60000,0.34623121699623544,12000,0.05206187500152737,-0.132185279229 -0.0359650275595 0.0757677249065 0.179460696777 -0.542564401493 -0.644543714437 -1.26390578682
GA_sigma_2pct,60001,0.3628908631676339,12000,0.059246458928100765,-1.33625461538 -0.27985987566 0.113702011864 -0.146487511908 -0.307515087622 -0.920279599284 0.0363674799573
GA_sigma_2pct,60002,0.2961017234181479,12000,0.052126499940641224,-0.4990275684 -0.0457248324992 -0.884712670972 -0.458062634589 -1.43578741582 -0.413177378218 0.21481209522
GA_sigma_2pct,60003,0.22509622532849205,12000,0.053018375067040324,-0.677349487072 -0.10156299372 -0.849804312252 -1.47306200319 -0.844893328193 -0.98695366868 -0.132233459978
GA_sigma_2pct,60004,0.26031428990780514,12000,0.05242362502031028,-0.269797077551 -1.06221605682 0.23132929293 -1.30797199269 -0.531909944111 -0.465983020602 -0.062858642054
GA_sigma_2pct,60005,0.3453710837529467,12000,0.052709124982357025,0.0568313156869 -0.471362878135 -0.162248330335 -0.0833212554741 -1.39506244485 -0.909775008091 -0.0737054666679
GA_sigma_2pct,60006,0.40473999006647654,12000,0.05237541696988046,-0.744653902498 -0.888270758473 -0.96259457412 -0.160598551463 -0.0216073992306 0.00840795305265 0.350942485989
GA_sigma_2pct,60007,0.38656226754635653,12000,0.0527643330860883,-1.19283100788 -0.0971701979103 0.0258642240139 0.0692481052772 -0.831079936674 -0.1369012706 0.0158030749627
GA_sigma_2pct,60008,0.4021462426963191,12000,0.05295191705226898,0.264149083217 -1.22561072309 -0.686487876156 0.177438504348 -0.301408390389 -0.243349642556 -0.296204357349
GA_sigma_2pct,60009,0.286385530421622,12000,0.05286058399360627,-0.568810320464 0.307525758455 -0.389739433417 -1.15725526346 -0.835774242683 -0.451137976165 -1.23139877976
GA_sigma_2pct,60010,0.32089033376421233,12000,0.05297095805872232,-0.559665450747 0.16299406681 -1.47299904107 -0.0475414650137 -0.354416227231 -0.239381891943 -0.24237123511
GA_sigma_2pct,60011,0.4155845264900667,12000,0.05249120795633644,-0.0980142379414 0.481807852498 -0.811682672229 -0.252602286114 -0.703127749501 -0.18657228526 0.0713492820311
GA_sigma_2pct,60012,0.38025152792876193,12000,0.05293266708031297,-1.26446440139 0.102285554034 -0.934147586161 0.0546834364226 -0.350715606752 -0.184973796804 -0.0686469364319
GA_sigma_2pct,60013,0.2699012723429698,12000,0.05285079195164144,-0.463596827067 -0.798167765128 -0.172861116897 -0.223662473639 -1.6563048172 -0.131713739334 -0.557639624058
GA_sigma_2pct,60014,0.32801511970113345,12000,0.05331241700332612,-1.07078310718 -0.702498356864 -1.02543183352 0.050816820745 -1.02697458699 -0.370056451453 0.212477697058
GA_sigma_2pct,60015,0.32860971837231956,12000,0.052938458044081926,-0.32143166298 -0.0195359328874 -0.267519737165 -1.55754477795 -0.815640045169 -0.0360901055042 -0.470937419549
GA_sigma_2pct,60016,0.2774850341446724,12000,0.05339091701898724,-0.491019687961 -0.0984362302382 0.145621215784 -0.402754686258 -0.647853313338 -1.22747657237 -1.2815346311
GA_sigma_2pct,60017,0.350672482918428,12000,0.05291695799678564,-0.193274265372 -0.373948553611 -0.379092467111 0.6359452918 -0.39867151495 -1.0459251792 -0.663865215415
GA_sigma_2pct,60018,0.43624250241115997,12000,0.053119749994948506,-0.141589099882 0.382130646217 -0.358571388765 -0.119712652362 0.0301886120851 -1.10837896973 -0.331413167907
GA_sigma_2pct,60019,0.2883800363970249,12000,0.05297112499829382,-0.655105745666 -0.215111123144 0.161201317668 -0.320760985931 -0.905331843265 -0.665213513623 -1.49230638953
GA_sigma_8pct,61000,0.2775975575969157,12000,0.053082042024470866,-1.1812994328 -0.406986929593 -1.05510316434 -0.811407512591 -0.048853615934 0.310746525202 -0.393317007691
GA_sigma_8pct,61001,0.31106699441961294,12000,0.053497540997341275,-0.736583924435 -0.789947281154 -0.414525308817 -0.0924975905534 0.18464144565 -0.962674346047 -1.36903907571
