method,seed,best_value,evaluations,seconds,best_vector
GA_sigma_5pct,60000,237.90885957225828,12000,0.04534524999326095,-302.256309175 -303.013215639 423.187811313 419.346569723 421.52645969
GA_sigma_5pct,60001,118.50444097019363,12000,0.046137583965901285,-302.305419573 420.743356302 420.43281858 420.60068305 420.928412924
GA_sigma_5pct,60002,118.49777697268087,12000,0.04674870800226927,420.744501755 420.460237427 420.901654567 420.694274929 -302.23918629
GA_sigma_5pct,60003,118.57461118670653,12000,0.04707575001521036,-302.047660141 421.511634134 420.875023259 420.606220684 420.323720694
GA_sigma_5pct,60004,118.48355565167003,12000,0.04672337503870949,420.829034392 -302.609606172 420.89516094 420.491723639 420.655300716
GA_sigma_5pct,60005,118.51438256908568,12000,0.04683529201429337,-302.240748989 420.347913467 421.132424229 420.638849375 420.982343128
GA_sigma_5pct,60006,118.47878994747225,12000,0.047172792023047805,421.255421281 421.039902585 421.428541943 420.849827305 -302.609983797
GA_sigma_5pct,60007,236.90569499604408,12000,0.046269165992271155,420.731010951 -302.574819414 420.838614701 -302.814986741 421.231660429
GA_sigma_5pct,60008,355.40358371672596,12000,0.04613358300412074,420.907215065 420.150816038 -302.546126385 -302.680353854 -302.460019681
GA_sigma_5pct,60009,118.49297829510601,12000,0.046464540995657444,421.194009355 420.886533405 421.218129581 -303.052967744 421.150209608
GA_sigma_5pct,60010,355.33857989678745,12000,0.04636612499598414,421.053683364 -302.322924509 -302.601814991 421.290644784 -302.356108143
GA_sigma_5pct,60011,473.8206269710952,12000,0.04676133400062099,-302.648328073 -302.499184468 -301.906491951 420.749411768 -302.233948604
GA_sigma_5pct,60012,236.93765697235153,12000,0.0468511669896543,421.149627172 420.528870722 420.853223568 -302.942442845 -302.264022535
GA_sigma_5pct,60013,236.88195710022455,12000,0.046805833000689745,-302.582820762 420.79722975 420.947058938 -302.604984694 421.010230776
GA_sigma_5pct,60014,236.8921387310195,12000,0.047031624999362975,420.920989957 420.889544888 -302.681618616 420.672468315 -302.558430924
GA_sigma_5pct,60015,434.307090325417,12000,0.04745358298532665,421.168417001 203.726703034 421.14664219 421.21630563 203.534759794
GA_sigma_5pct,60016,118.53736418204448,12000,0.047831416013650596,420.764658031 -302.137457215 420.262431681 421.144025757 420.718654069
GA_sigma_5pct,60017,355.5832859513946,12000,0.047353082976769656,421.460215082 -302.197488026 420.991243659 -301.407377887 -301.802714389
GA_sigma_5pct,60018,217.16632695410544,12000,0.047049166983924806,203.906034303 420.585302888 420.814390878 420.922052071 420.797751509
GA_sigma_5pct,60019,118.47595828937779,12000,0.046596291998866946,421.259591696 421.249448937 -302.257717553 420.721596764 420.929671007
GA_sigma_15pct,61000,0.42727576502829834,12000,0.04703995800809935,421.600405755 421.134716907 421.19233196 420.574028516 422.627620204
GA_sigma_15pct,61001,150.7098255190715,12000,0.04681062500458211,409.337356876 -300.971351302 428.136989969 422.180987807 429.136930482
GA_sigma_15pct,61002,121.39531572053875,12000,0.04665541701251641,420.749545812 -305.357627804 417.92390947 418.51322929 420.753011325
GA_sigma_15pct,61003,119.90033527609376,12000,0.04685024998616427,418.265372323 420.281509026 421.83450997 419.94967447 -303.945945979
GA_sigma_15pct,61004,252.68376730519844,12000,0.0469068749807775,402.456931339 -325.930501051 426.095039785 431.977560357 427.765995421
GA_sigma_15pct,61005,118.59406766216443,12000,0.047502500005066395,420.695413782 421.117658587 -302.603103881 421.853656576 421.558058198
GA_sigma_15pct,61006,0.36727223977140966,12000,0.047633167007006705,420.533045581 420.159269875 422.160604575 420.398149854 420.404138639
GA_sigma_15pct,61007,119.64283316496403,12000,0.04753250000067055,420.606835441 -303.016072037 423.930280351 420.34063996 420.941213869
GA_sigma_15pct,61008,118.93442636855298,12000,0.04731995798647404,421.115746732 421.630515756 -301.736346916 419.820792448 419.731323223
GA_sigma_15pct,61009,119.02173929317883,12000,0.04691700002877042,418.897929262 -302.648387905 420.670964825 421.421135682 421.142999912
GA_sigma_15pct,61010,0.19292246831491866,12000,0.046816499962005764,420.506750218 420.409127673 420.759734633 420.447767375 421.797395837
GA_sigma_15pct,61011,355.84447946478326,12000,0.04654504102654755,-302.576231616 422.024359718 419.740444152 -302.96890971 -301.355137639
GA_sigma_15pct,61012,119.28431617549177,12000,0.046568082994781435,421.846751152 420.939595722 421.382177419 -300.296142945 421.853433407
GA_sigma_15pct,61013,237.10657742260582,12000,0.04655679198913276,420.549774939 -303.056929468 420.672411049 -301.404305058 421.089284308
GA_sigma_15pct,61014,0.18472530647522944,12000,0.046640000015031546,420.694799926 421.84718441 421.171131705 421.693511938 421.19264259
GA_sigma_15pct,61015,0.1295842625604564,12000,0.047544875007588416,420.516237239 421.284196029 421.564019876 420.562069324 421.418615445
GA_sigma_15pct,61016,119.15930110015302,12000,0.047704750031698495,-304.261926966 420.893234862 419.504299184 421.698685795 420.936992677
GA_sigma_15pct,61017,237.54560506731582,12000,0.04735958302626386,421.854792681 421.926654367 419.94625216 -304.02551015 -303.063484706
GA_sigma_15pct,61018,119.10411528027521,12000,0.047764541988726705,420.470999825 421.128383923 423.024870418 -302.146521826 421.761615901
GA_sigma_15pct,61019,119.1068941936353,12000,0.04698408301919699,422.643717191 419.927155165 420.99258038 421.139446479 -303.695836829
random_search,90000,542.2159743783461,12000,0.009535792050883174,441.117003223 -279.874908452 448.440097173 423.556667463 206.047155024
random_search,90001,387.9218203367748,12000,0.009490750031545758,418.188574953 408.649947696 -253.906669196 418.522299017 414.463403857
random_search,90002,584.4671566969753,12000,0.009402875031810254,462.503415444 394.108523309 433.096190667 208.077887956 442.270681422
random_search,90003,431.9826942328225,12000,0.009434125036932528,438.160315246 379.773323702 416.052086728 379.374226127 425.942099531
random_search,90004,606.7324689494469,12000,0.009451083024032414,456.060106441 407.585954543 200.848061701 394.068846108 -292.539547353
random_search,90005,343.9804447743227,12000,0.009449417004361749,433.543269262 396.377870871 418.93459008 -277.78962538 442.706628657
random_search,90006,381.8088061827759,12000,0.009442417009267956,-301.560836421 445.674972241 452.466599689 422.476092346 397.517708256
random_search,90007,481.2675584273338,12000,0.009468165982980281,440.640410325 190.502401585 434.051847443 439.669604131 387.893618175
random_search,90008,531.6084870699631,12000,0.009453499980736524,458.989180693 417.166770812 418.869645784 417.957636081 -254.694473754
random_search,90009,488.606374513578,12000,0.009445000032428652,405.796531031 413.97846809 -295.331510741 -306.723796117 463.06042665
random_search,90010,368.8882169617359,12000,0.009470999997574836,381.630160764 459.578454997 430.263977186 424.977924858 424.071774593
random_search,90011,468.2212053141286,12000,0.009303833998274058,401.798012293 395.943206571 440.218049303 418.179005461 -119.268193336
random_search,90012,414.47283165109,12000,0.009358000010251999,451.441205681 415.294798191 420.127883767 423.390040723 -123.463196808
random_search,90013,540.8178958872049,12000,0.009342500008642673,407.17350559 429.714071259 354.191642016 403.711029603 439.14373073
random_search,90014,390.3689680410628,12000,0.009350000007543713,422.15773038 -288.840414144 427.280816638 190.97347301 427.815411948
random_search,90015,579.3234241819282,12000,0.009335250011645257,-337.024188796 409.369107671 434.334233298 443.396966818 201.795223588
random_search,90016,522.8830925920545,12000,0.00934824999421835,201.912924951 423.485000834 -301.80791076 457.558626431 435.232675464
random_search,90017,398.57998426840413,12000,0.009349791973363608,419.702726545 411.284609547 74.4008775543 409.90898062 414.221097242
random_search,90018,571.7233524411167,12000,0.009333499998319894,429.709032125 454.82172109 180.288528154 388.795302717 408.581226476
random_search,90019,343.8182574087018,12000,0.009319000004325062,422.96794911 417.985379255 -106.42270709 419.779657804 414.160331447
