number,name,unit_cost,unit_utility,minimum,maximum
1,Материал 01,21,69,3,16
2,Материал 02,8,66,2,7
3,Материал 03,49,82,1,6
4,Материал 04,20,70,4,10
5,Материал 05,25,51,2,16
6,Материал 06,35,16,1,6
7,Материал 07,9,74,1,15
8,Материал 08,19,39,2,10
9,Материал 09,37,91,1,15
10,Материал 10,23,37,1,13
11,Материал 11,51,12,3,8
12,Материал 12,15,49,1,9
13,Материал 13,49,83,4,10
14,Материал 14,15,20,2,10
15,Материал 15,44,10,1,7
16,Материал 16,36,61,2,13
17,Материал 17,30,78,1,9
18,Материал 18,51,71,1,7
19,Материал 19,41,83,2,12
20,Материал 20,8,87,1,11
21,Материал 21,27,30,4,9
22,Материал 22,50,75,4,18
23,Материал 23,55,15,2,8
24,Материал 24,44,46,1,10
25,Материал 25,17,43,4,9
26,Материал 26,42,46,3,16
27,Материал 27,28,25,1,10
28,Материал 28,55,67,3,12
29,Материал 29,18,60,1,14
30,Материал 30,15,21,1,15
