material,quantity,minimum,maximum,unit_cost,unit_utility,line_cost,line_utility
Материал 01,16,3,16,21,69,336,1104
Материал 02,7,2,7,8,66,56,462
Материал 03,2,1,6,49,82,98,164
Материал 04,10,4,10,20,70,200,700
Материал 05,16,2,16,25,51,400,816
Материал 06,1,1,6,35,16,35,16
Материал 07,15,1,15,9,74,135,1110
Материал 08,10,2,10,19,39,190,390
Материал 09,15,1,15,37,91,555,1365
Материал 10,1,1,13,23,37,23,37
Материал 11,3,3,8,51,12,153,36
Материал 12,9,1,9,15,49,135,441
Материал 13,10,4,10,49,83,490,830
Материал 14,2,2,10,15,20,30,40
Материал 15,1,1,7,44,10,44,10
Материал 16,2,2,13,36,61,72,122
Материал 17,9,1,9,30,78,270,702
Материал 18,1,1,7,51,71,51,71
Материал 19,12,2,12,41,83,492,996
Материал 20,11,1,11,8,87,88,957
Материал 21,4,4,9,27,30,108,120
Материал 22,4,4,18,50,75,200,300
Материал 23,2,2,8,55,15,110,30
Материал 24,1,1,10,44,46,44,46
Материал 25,9,4,9,17,43,153,387
Материал 26,3,3,16,42,46,126,138
Материал 27,1,1,10,28,25,28,25
Материал 28,3,3,12,55,67,165,201
Материал 29,14,1,14,18,60,252,840
Материал 30,1,1,15,15,21,15,21
