method,seed,fitness,utility,cost,feasible,shortage,over_maximum,overspend,evaluations,seconds,individual
repair_uniform,600000,-12473,12473,5055,True,0,0,0,14300,0.20796641701599583,"[16, 7, 1, 10, 16, 1, 15, 9, 15, 1, 3, 9, 7, 2, 1, 8, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600001,-12473,12473,5055,True,0,0,0,14300,0.21023083297768608,"[16, 7, 1, 10, 16, 1, 15, 9, 15, 1, 3, 9, 7, 2, 1, 8, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600002,-12473,12473,5051,True,0,0,0,14300,0.2089607500238344,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 8, 2, 1, 6, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600003,-12468,12468,5052,True,0,0,0,14300,0.21213870798237622,"[16, 7, 1, 10, 16, 1, 15, 9, 15, 1, 3, 9, 4, 2, 1, 12, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600004,-12468,12468,5052,True,0,0,0,14300,0.20947641698876396,"[16, 7, 1, 10, 16, 1, 15, 9, 15, 1, 3, 9, 4, 2, 1, 12, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600005,-12473,12473,5055,True,0,0,0,14300,0.21135024999966845,"[16, 7, 1, 10, 16, 1, 15, 9, 15, 1, 3, 9, 7, 2, 1, 8, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600006,-12468,12468,5048,True,0,0,0,14300,0.2114647080306895,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 5, 2, 1, 10, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600007,-12468,12468,5048,True,0,0,0,14300,0.21134691697079688,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 5, 2, 1, 10, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600008,-12468,12468,5048,True,0,0,0,14300,0.21197608404327184,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 5, 2, 1, 10, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600009,-12473,12473,5051,True,0,0,0,14300,0.20980445900931954,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 8, 2, 1, 6, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600010,-12468,12468,5056,True,0,0,0,14300,0.2133261669659987,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 6, 2, 1, 10, 9, 1, 11, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600011,-12468,12468,5048,True,0,0,0,14300,0.2266537499963306,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 5, 2, 1, 10, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600012,-12468,12468,5048,True,0,0,0,14300,0.20748704101424664,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 5, 2, 1, 10, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600013,-12468,12468,5056,True,0,0,0,14300,0.20859454100718722,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 6, 2, 1, 10, 9, 1, 11, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600014,-12473,12473,5051,True,0,0,0,14300,0.20766079099848866,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 8, 2, 1, 6, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600015,-12468,12468,5048,True,0,0,0,14300,0.2068913329858333,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 5, 2, 1, 10, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600016,-12472,12472,5055,True,0,0,0,14300,0.2054561670520343,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 5, 3, 9, 4, 2, 1, 9, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600017,-12456,12456,5057,True,0,0,0,14300,0.20794883300550282,"[16, 7, 1, 10, 16, 1, 15, 6, 15, 1, 3, 9, 6, 2, 1, 11, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_uniform,600018,-12468,12468,5052,True,0,0,0,14300,0.2074807079625316,"[16, 7, 1, 10, 16, 1, 15, 9, 15, 1, 3, 9, 4, 2, 1, 12, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
