number,name,meal,calories,cost,score
0,Завтрак 01,завтрак,549,150,92
1,Завтрак 02,завтрак,527,114,79
2,Завтрак 03,завтрак,550,152,65
3,Завтрак 04,завтрак,562,91,75
4,Завтрак 05,завтрак,494,140,93
5,Завтрак 06,завтрак,448,104,85
6,Завтрак 07,завтрак,564,108,79
7,Завтрак 08,завтрак,576,146,58
8,Завтрак 09,завтрак,465,109,55
9,Завтрак 10,завтрак,438,136,91
10,Завтрак 11,завтрак,498,160,57
11,Завтрак 12,завтрак,516,104,80
12,Обед 01,обед,805,154,80
13,Обед 02,обед,846,249,90
14,Обед 03,обед,690,215,94
15,Обед 04,обед,781,152,61
16,Обед 05,обед,725,146,99
17,Обед 06,обед,786,168,70
18,Обед 07,обед,721,200,55
19,Обед 08,обед,728,221,62
20,Обед 09,обед,664,197,74
21,Обед 10,обед,807,154,67
22,Обед 11,обед,764,172,87
23,Обед 12,обед,812,182,81
24,Ужин 01,ужин,596,180,91
25,Ужин 02,ужин,563,169,64
26,Ужин 03,ужин,743,140,71
27,Ужин 04,ужин,650,175,82
28,Ужин 05,ужин,743,144,95
29,Ужин 06,ужин,646,156,62
30,Ужин 07,ужин,618,177,65
31,Ужин 08,ужин,714,154,80
32,Ужин 09,ужин,606,154,76
33,Ужин 10,ужин,708,137,99
34,Ужин 11,ужин,656,215,79
35,Ужин 12,ужин,659,122,100
