generation,minimum,mean,maximum
0,582.5975992292467,1042.1889660625468,1330.4723438802353
1,550.7963082632534,926.1257042968855,1190.275097743623
2,550.7963082632534,857.5028177931217,1165.0046429834213
3,550.7963082632534,824.1481253401556,1151.1557532183003
4,477.890096220086,796.2756031813715,1130.4336972005399
5,477.890096220086,757.7126369533999,1108.4043600844975
6,388.7276719436413,725.6552511272969,928.8882212997123
7,388.7276719436413,678.2063902392795,928.8882212997123
8,179.59692106964712,627.6850926949994,928.8882212997123
9,179.59692106964712,583.3946645247785,928.8882212997123
10,179.59692106964712,544.931201821129,829.598196296401
11,179.59692106964712,504.76728805480815,759.1201782136566
12,137.85957462324882,441.10913300203003,721.3242184555033
13,127.04928778938847,428.239432583607,721.3242184555033
14,127.04928778938847,417.19540507486647,715.8568200987531
15,127.04928778938847,396.25374986453807,698.006053347792
16,127.04928778938847,384.07374425094184,698.006053347792
17,126.58864450346073,377.59080080787095,698.006053347792
18,122.1422382977089,375.6803930286378,698.006053347792
19,121.13135502316254,355.7012660259273,698.006053347792
20,121.13135502316254,351.472399595439,698.006053347792
21,121.13135502316254,348.6787950015031,677.0311003065399
22,121.13135502316254,340.7222249092093,677.0311003065399
23,121.13135502316254,333.15755130343257,653.496521092171
24,121.13135502316254,328.7507104690702,653.496521092171
25,119.7874645254451,326.7207197230624,653.496521092171
26,119.7874645254451,320.3833512675719,653.496521092171
27,119.7874645254451,316.32820111754063,653.496521092171
28,119.43556192439519,316.1696606031478,653.496521092171
29,119.15184109906977,312.20756380580417,653.496521092171
30,119.15184109906977,309.02670757024805,653.496521092171
31,119.15184109906977,307.25074625642566,652.3031958742781
32,119.15184109906977,306.9560342065639,652.3031958742781
33,118.71288049952682,306.31782139332927,652.3031958742781
34,118.71288049952682,301.5874167902613,652.3031958742781
35,118.71288049952682,296.92851279292324,652.3031958742781
36,118.71288049952682,296.7838264775741,652.3031958742781
37,118.71288049952682,295.3093340064207,652.3031958742781
38,118.71288049952682,294.25004226707006,652.3031958742781
39,118.71288049952682,286.58340288891156,652.3031958742781
40,118.71288049952682,283.51152243830455,596.4356652521249
41,118.71288049952682,283.13972416755814,596.4356652521249
42,118.71288049952682,282.446483783409,596.4356652521249
43,118.71288049952682,276.2796495957051,476.45767922310756
44,118.71288049952682,276.0950934406349,476.45767922310756
45,118.71288049952682,275.9792165349222,476.45767922310756
46,118.71288049952682,275.9766764354768,476.45767922310756
47,118.71288049952682,269.9055228672359,476.45767922310756
48,118.71288049952682,263.66556957810405,476.45767922310756
49,118.71288049952682,263.26393698574964,476.45767922310756
50,118.71288049952682,263.21070292120714,476.45767922310756
51,118.71288049952682,258.0278270519317,476.45767922310756
52,118.71288049952682,252.62593413128116,476.45767922310756
53,118.71288049952682,251.85507357084452,476.45767922310756
54,118.71288049952682,249.4910505034938,476.45767922310756
55,118.71288049952682,246.92933296990608,476.45767922310756
56,118.516067826366,246.67872976889484,476.45767922310756
57,118.516067826366,246.17871292072715,476.20058305228304
58,118.516067826366,245.053286832854,476.20058305228304
59,118.516067826366,239.3370391516349,475.8879787829751
