method,seed,best_value,evaluations,elapsed_seconds,best_vector
GA_sigma_5pct,60000,237.90885957225828,12000,0.04922558297403157,-302.2563092 -303.0132156 423.1878113 419.3465697 421.5264597
GA_sigma_5pct,60001,118.50444097019363,12000,0.048634542035870254,-302.3054196 420.7433563 420.4328186 420.6006831 420.9284129
GA_sigma_5pct,60002,118.49777697268087,12000,0.04830337502062321,420.7445018 420.4602374 420.9016546 420.6942749 -302.2391863
GA_sigma_5pct,60003,118.57461118670653,12000,0.049423832970205694,-302.0476601 421.5116341 420.8750233 420.6062207 420.3237207
GA_sigma_5pct,60004,118.48355565167003,12000,0.050097000028472394,420.8290344 -302.6096062 420.8951609 420.4917236 420.6553007
GA_sigma_5pct,60005,118.51438256908568,12000,0.04922708298545331,-302.240749 420.3479135 421.1324242 420.6388494 420.9823431
GA_sigma_5pct,60006,118.47878994747225,12000,0.04908704198896885,421.2554213 421.0399026 421.4285419 420.8498273 -302.6099838
GA_sigma_5pct,60007,236.90569499604408,12000,0.049543291970621794,420.731011 -302.5748194 420.8386147 -302.8149867 421.2316604
GA_sigma_5pct,60008,355.40358371672596,12000,0.049587625020649284,420.9072151 420.150816 -302.5461264 -302.6803539 -302.4600197
GA_sigma_5pct,60009,118.49297829510601,12000,0.049613333016168326,421.1940094 420.8865334 421.2181296 -303.0529677 421.1502096
GA_sigma_5pct,60010,355.33857989678745,12000,0.05051716702291742,421.0536834 -302.3229245 -302.601815 421.2906448 -302.3561081
GA_sigma_5pct,60011,473.8206269710952,12000,0.04891541600227356,-302.6483281 -302.4991845 -301.906492 420.7494118 -302.2339486
GA_sigma_5pct,60012,236.93765697235153,12000,0.04792329203337431,421.1496272 420.5288707 420.8532236 -302.9424428 -302.2640225
GA_sigma_5pct,60013,236.88195710022455,12000,0.04771091596921906,-302.5828208 420.7972297 420.9470589 -302.6049847 421.0102308
GA_sigma_5pct,60014,236.8921387310195,12000,0.04773608298273757,420.92099 420.8895449 -302.6816186 420.6724683 -302.5584309
GA_sigma_5pct,60015,434.307090325417,12000,0.04801733297063038,421.168417 203.726703 421.1466422 421.2163056 203.5347598
GA_sigma_5pct,60016,118.53736418204448,12000,0.04816141602350399,420.764658 -302.1374572 420.2624317 421.1440258 420.7186541
GA_sigma_5pct,60017,355.5832859513946,12000,0.04783229099120945,421.4602151 -302.197488 420.9912437 -301.4073779 -301.8027144
GA_sigma_5pct,60018,217.16632695410544,12000,0.04799908399581909,203.9060343 420.5853029 420.8143909 420.9220521 420.7977515
GA_sigma_5pct,60019,118.47595828937779,12000,0.047722707968205214,421.2595917 421.2494489 -302.2577176 420.7215968 420.929671
