item,quantity,unit_cost,unit_utility,line_cost,line_utility
Материал 01,16,21,69,336,1104
Материал 02,7,8,66,56,462
Материал 03,1,49,82,49,82
Материал 04,10,20,70,200,700
Материал 05,16,25,51,400,816
Материал 06,1,35,16,35,16
Материал 07,15,9,74,135,1110
Материал 08,9,19,39,171,351
Материал 09,15,37,91,555,1365
Материал 10,1,23,37,23,37
Материал 11,3,51,12,153,36
Материал 12,9,15,49,135,441
Материал 13,7,49,83,343,581
Материал 14,2,15,20,30,40
Материал 15,1,44,10,44,10
Материал 16,8,36,61,288,488
Материал 17,9,30,78,270,702
Материал 18,1,51,71,51,71
Материал 19,12,41,83,492,996
Материал 20,11,8,87,88,957
Материал 21,4,27,30,108,120
Материал 22,4,50,75,200,300
Материал 23,2,55,15,110,30
Материал 24,1,44,46,44,46
Материал 25,9,17,43,153,387
Материал 26,3,42,46,126,138
Материал 27,1,28,25,28,25
Материал 28,3,55,67,165,201
Материал 29,14,18,60,252,840
Материал 30,1,15,21,15,21
