id,name,unit_cost,unit_utility,minimum,maximum
0,Материал 01,21,69,3,16
1,Материал 02,8,66,2,7
2,Материал 03,49,82,1,6
3,Материал 04,20,70,4,10
4,Материал 05,25,51,2,16
5,Материал 06,35,16,1,6
6,Материал 07,9,74,1,15
7,Материал 08,19,39,2,10
8,Материал 09,37,91,1,15
9,Материал 10,23,37,1,13
10,Материал 11,51,12,3,8
11,Материал 12,15,49,1,9
12,Материал 13,49,83,4,10
13,Материал 14,15,20,2,10
14,Материал 15,44,10,1,7
15,Материал 16,36,61,2,13
16,Материал 17,30,78,1,9
17,Материал 18,51,71,1,7
18,Материал 19,41,83,2,12
19,Материал 20,8,87,1,11
20,Материал 21,27,30,4,9
21,Материал 22,50,75,4,18
22,Материал 23,55,15,2,8
23,Материал 24,44,46,1,10
24,Материал 25,17,43,4,9
25,Материал 26,42,46,3,16
26,Материал 27,28,25,1,10
27,Материал 28,55,67,3,12
28,Материал 29,18,60,1,14
29,Материал 30,15,21,1,15
